Phase,Feature ID,Feature Name,Task ID,Task Name,Description,Planned Start,Planned End,Weight,Feb %,Mar %,Apr %,May %,Jun %,Jul %,Aug %,Sep %,Oct %,Nov %,Dec %

PHASE 1,F1,Security Requirements Generation,,,,,,,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.1,OWASP/ASVS Framework Research,Map OWASP ASVS 4.0 chapters to actionable requirement categories; document taxonomy,Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.2,Application Context Schema Design,Design input schema for tech stack / data sensitivity / compliance scope / deployment model,Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.3,ASVS Requirement Mapping Engine,Build engine mapping ASVS chapters -> controls -> auto-generated requirements per context,Feb,Mar,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.4,AI Requirement Generation Pipeline,LLM pipeline that takes app context + ASVS mapping to produce prioritized security requirements,Mar,Mar,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.5,Requirement Prioritization Engine,Risk-based prioritization (data sensitivity x exposure x compliance) with MoSCoW output,Mar,Mar,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.6,JIRA Cloud OAuth Integration,OAuth 2.0 flow for Jira Cloud; token management; permission scoping,Mar,Apr,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.7,JIRA Issue Creation & Sync,Create epics/stories from requirements; bidirectional status sync; field mapping config,Apr,Apr,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.8,Azure DevOps OAuth Integration,OAuth flow for ADO; PAT fallback; org/project selection,Apr,Apr,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.9,Azure DevOps Work Item Sync,Create work items from requirements; area path mapping; state sync,Apr,May,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.10,Requirement Management UI,Dashboard showing generated requirements; edit/approve/reject workflow; bulk actions,Apr,May,3,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.11,Export Module (PDF/CSV/Markdown),Export requirements in multiple formats with traceability metadata,May,May,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.12,Integration Testing & QA,End-to-end testing of full flow: context input -> generation -> JIRA/ADO sync,May,May,2,0,,,,,,,,,,,
PHASE 1,F1,Security Requirements Generation,1.1.13,Documentation & User Guide,User-facing docs; API reference; admin setup guide for JIRA/ADO,May,May,1,0,,,,,,,,,,,

PHASE 1,F2,Misuse / Abuse Case Generation,,,,,,,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.1,Abuse Case Taxonomy Research,Map CAPEC attack patterns + MITRE ATT&CK to abuse case templates; define severity model,Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.2,Abuse Case Schema & Data Model,Design schema: actor profiles / attack steps / preconditions / impact / linked threats,Feb,Feb,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.3,Architecture Description NLP Parser,Parse free-text architecture descriptions into structured components / flows / trust boundaries,Feb,Mar,3,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.4,Threat Actor Profiling Module,Auto-generate relevant threat actor profiles (external attacker / insider / supply chain) per context,Mar,Mar,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.5,Abuse Case Generation AI Engine,LLM engine producing structured misuse cases from architecture + actor profiles,Mar,Mar,3,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.6,Acceptance Criteria Auto-Generation,Generate testable acceptance criteria per abuse case (Given/When/Then format),Mar,Apr,3,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.7,Abuse Case Visualization UI,Interactive attack tree / misuse case diagram visualization,Apr,Apr,2,0,,,,,,,,,,,
PHASE 1,F2,Misuse / Abuse Case Generation,1.2.8,Backlog Export (JIRA/ADO Format),Export abuse cases as stories/tasks with acceptance criteria to JIRA or ADO,Apr,Apr,2,0,,,,,,,,,,,
